ID,CNAE,DESCRICAO
131,07.21-9/02,BENEFICIAMENTO DE MINÉRIO DE ALUMÍNIO
132,07.22-7/01,EXTRAÇÃO DE MINÉRIO DE ESTANHO
133,07.22-7/02,BENEFICIAMENTO DE MINÉRIO DE ESTANHO
134,07.23-5/01,EXTRAÇÃO DE MINÉRIO DE MANGANÊS
135,07.23-5/02,BENEFICIAMENTO DE MINÉRIO DE MANGANÊS
136,07.24-3/01,EXTRAÇÃO DE MINÉRIO DE METAIS PRECIOSOS
137,07.24-3/02,BENEFICIAMENTO DE MINÉRIO DE METAIS PRECIOSOS
138,07.25-1/00,EXTRAÇÃO DE MINERAIS RADIOATIVOS
139,07.29-4/01,EXTRAÇÃO DE MINÉRIOS DE NIÓBIO E TITÂNIO
140,07.29-4/02,EXTRAÇÃO DE MINÉRIO DE TUNGSTÊNIO
141,07.29-4/03,EXTRAÇÃO DE MINÉRIO DE NÍQUEL
142,07.29-4/04,"EXTRAÇÃO DE MINÉRIOS DE COBRE, CHUMBO, ZINCO E OUTROS MINERAIS METÁLICOS NÃO FERROSOS NÃO ESPECIFICADOS ANTERIORMENTE"
143,07.29-4/05,"BENEFICIAMENTO DE MINÉRIOS DE COBRE, CHUMBO, ZINCO E OUTROS MINERAIS METÁLICOS NÃO FERROSOS NÃO ESPECIFICADOS ANTERIORMENTE"
144,08.10-0/01,EXTRAÇÃO DE ARDÓSIA E BENEFICIAMENTO ASSOCIADO
145,08.10-0/02,EXTRAÇÃO DE GRANITO E BENEFICIAMENTO ASSOCIADO
146,08.10-0/03,EXTRAÇÃO DE MÁRMORE E BENEFICIAMENTO ASSOCIADO
147,08.10-0/04,EXTRAÇÃO DE CALCÁRIO E DOLOMITA E BENEFICIAMENTO ASSOCIADO
148,08.10-0/05,EXTRAÇÃO DE GESSO E CAULIM
149,08.10-0/06,"EXTRAÇÃO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO"
150,08.10-0/07,EXTRAÇÃO DE ARGILA E BENEFICIAMENTO ASSOCIADO
151,08.10-0/08,EXTRAÇÃO DE SAIBRO E BENEFICIAMENTO ASSOCIADO
152,08.10-0/09,EXTRAÇÃO DE BASALTO E BENEFICIAMENTO ASSOCIADO
153,08.10-0/10,BENEFICIAMENTO DE GESSO E CAULIM ASSOCIADO À EXTRAÇÃO
154,08.10-0/99,EXTRAÇÃO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUÇÃO E BENEFICIAMENTO ASSOCIADO
155,08.91-6/00,"EXTRAÇÃO DE MINERAIS PARA FABRICAÇÃO DE ADUBOS, FERTILIZANTES E OUTROS PRODUTOS QUÍMICOS"
156,08.92-4/01,EXTRAÇÃO DE SAL MARINHO
157,08.92-4/02,EXTRAÇÃO DE SAL GEMA
158,08.92-4/03,REFINO E OUTROS TRATAMENTOS DO SAL
