ID,CNAE,DESCRICAO
529,32.40-0/03,"FABRICAÇÃO DE MESAS DE BILHAR, DE SINUCA E ACESSÓRIOS ASSOCIADA À LOCAÇÃO"
530,32.40-0/99,FABRICAÇÃO DE OUTROS BRINQUEDOS E JOGOS RECREATIVOS NÃO ESPECIFICADOS ANTERIORMENTE
531,32.50-7/01,"FABRICAÇÃO DE INSTRUMENTOS NÃO ELETRÔNICOS E UTENSÍLIOS PARA USO MÉDICO, CIRÚRGICO, ODONTOLÓGICO E DE LABORATÓRIO"
532,32.50-7/02,"FABRICAÇÃO DE MOBILIÁRIO PARA USO MÉDICO, CIRÚRGICO, ODONTOLÓGICO E DE LABORATÓRIO"
533,32.50-7/03,FABRICAÇÃO DE APARELHOS E UTENSÍLIOS PARA CORREÇÃO DE DEFEITOS FÍSICOS E APARELHOS ORTOPÉDICOS EM GERAL SOB ENCOMENDA
534,32.50-7/04,"FABRICAÇÃO DE APARELHOS E UTENSÍLIOS PARA CORREÇÃO DE DEFEITOS FÍSICOS E APARELHOS ORTOPÉDICOS EM GERAL, EXCETO SOB ENCOMENDA"
535,32.50-7/05,FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA
536,32.50-7/06,SERVIÇOS DE PRÓTESE DENTÁRIA
537,32.50-7/07,FABRICAÇÃO DE ARTIGOS ÓPTICOS
538,32.50-7/09,SERVIÇO DE LABORATÓRIO ÓPTICO
539,32.91-4/00,"FABRICAÇÃO DE ESCOVAS, PINCÉIS E VASSOURAS"
540,32.92-2/01,FABRICAÇÃO DE ROUPAS DE PROTEÇÃO E SEGURANÇA E RESISTENTES A FOGO
541,32.92-2/02,FABRICAÇÃO DE EQUIPAMENTOS E ACESSÓRIOS PARA SEGURANÇA PESSOAL E PROFISSIONAL
542,32.99-0/01,FABRICAÇÃO DE GUARDA CHUVAS E SIMILARES
543,32.99-0/02,"FABRICAÇÃO DE CANETAS, LÁPIS E OUTROS ARTIGOS PARA ESCRITÓRIO"
544,32.99-0/03,"FABRICAÇÃO DE LETRAS, LETREIROS E PLACAS DE QUALQUER MATERIAL, EXCETO LUMINOSOS"
545,32.99-0/04,FABRICAÇÃO DE PAINÉIS E LETREIROS LUMINOSOS
546,32.99-0/05,FABRICAÇÃO DE AVIAMENTOS PARA COSTURA
547,32.99-0/06,"FABRICAÇÃO DE VELAS, INCLUSIVE DECORATIVAS"
548,32.99-0/99,FABRICAÇÃO DE PRODUTOS DIVERSOS NÃO ESPECIFICADOS ANTERIORMENTE
549,33.11-2/00,"MANUTENÇÃO E REPARAÇÃO DE TANQUES, RESERVATÓRIOS METÁLICOS E CALDEIRAS, EXCETO PARA VEÍCULOS"
550,33.12-1/02,"MANUTENÇÃO E REPARAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE"
551,33.12-1/03,MANUTENÇÃO E REPARAÇÃO DE APARELHOS ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIPAMENTOS DE IRRADIAÇÃO
552,33.12-1/04,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS
553,33.13-9/01,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
554,33.13-9/02,"MANUTENÇÃO E REPARAÇÃO DE BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS"
555,33.13-9/99,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE"
556,33.14-7/01,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS MOTRIZES NÃO ELÉTRICAS
557,33.14-7/02,"MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, EXCETO VÁLVULAS"
558,33.14-7/03,MANUTENÇÃO E REPARAÇÃO DE VÁLVULAS INDUSTRIAIS
559,33.14-7/04,MANUTENÇÃO E REPARAÇÃO DE COMPRESSORES
560,33.14-7/05,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS DE TRANSMISSÃO PARA FINS INDUSTRIAIS
561,33.14-7/06,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA INSTALAÇÕES TÉRMICAS"
562,33.14-7/07,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS DE REFRIGERAÇÃO E VENTILAÇÃO PARA USO INDUSTRIAL E COMERCIAL
563,33.14-7/08,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS"
564,33.14-7/09,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS DE ESCREVER, CALCULAR E DE OUTROS EQUIPAMENTOS NÃO ELETRÔNICOS PARA ESCRITÓRIO"
565,33.14-7/10,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE
566,33.14-7/11,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUÁRIA
567,33.14-7/12,MANUTENÇÃO E REPARAÇÃO DE TRATORES AGRÍCOLAS
568,33.14-7/13,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS FERRAMENTA
569,33.14-7/14,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A PROSPECÇÃO E EXTRAÇÃO DE PETRÓLEO
570,33.14-7/15,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO NA EXTRAÇÃO MINERAL, EXCETO NA EXTRAÇÃO DE PETRÓLEO"
571,33.14-7/16,"MANUTENÇÃO E REPARAÇÃO DE TRATORES, EXCETO AGRÍCOLAS"
572,33.14-7/17,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE TERRAPLENAGEM, PAVIMENTAÇÃO E CONSTRUÇÃO, EXCETO TRATORES"
573,33.14-7/18,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS PARA A INDÚSTRIA METALÚRGICA, EXCETO MÁQUINAS FERRAMENTA"
574,33.14-7/19,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE ALIMENTOS, BEBIDAS E FUMO"
575,33.14-7/20,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A INDÚSTRIA TÊXTIL, DO VESTUÁRIO, DO COURO E CALÇADOS"
576,33.14-7/21,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS PARA A INDÚSTRIA DE CELULOSE, PAPEL E PAPELÃO E ARTEFATOS"
577,33.14-7/22,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS PARA A INDÚSTRIA DO PLÁSTICO
578,33.14-7/99,MANUTENÇÃO E REPARAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS PARA USOS INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE
579,33.15-5/00,MANUTENÇÃO E REPARAÇÃO DE VEÍCULOS FERROVIÁRIOS
580,33.16-3/01,"MANUTENÇÃO E REPARAÇÃO DE AERONAVES, EXCETO A MANUTENÇÃO NA PISTA"
581,33.16-3/02,MANUTENÇÃO DE AERONAVES NA PISTA
582,33.17-1/01,MANUTENÇÃO E REPARAÇÃO DE EMBARCAÇÕES E ESTRUTURAS FLUTUANTES
583,33.17-1/02,MANUTENÇÃO E REPARAÇÃO DE EMBARCAÇÕES PARA ESPORTE E LAZER
584,33.19-8/00,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
585,33.21-0/00,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
586,33.29-5/01,SERVIÇOS DE MONTAGEM DE MÓVEIS DE QUALQUER MATERIAL
587,33.29-5/99,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
588,35.11-5/01,GERAÇÃO DE ENERGIA ELÉTRICA
589,35.11-5/02,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
590,35.12-3/00,TRANSMISSÃO DE ENERGIA ELÉTRICA
591,35.13-1/00,COMÉRCIO ATACADISTA DE ENERGIA ELÉTRICA
592,35.14-0/00,DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
593,35.20-4/01,PRODUÇÃO DE GÁS; PROCESSAMENTO DE GÁS NATURAL
594,35.20-4/02,DISTRIBUIÇÃO DE COMBUSTÍVEIS GASOSOS POR REDES URBANAS
595,35.30-1/00,"PRODUÇÃO E DISTRIBUIÇÃO DE VAPOR, ÁGUA QUENTE E AR CONDICIONADO"
596,36.00-6/01,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA"
597,36.00-6/02,DISTRIBUIÇÃO DE ÁGUA POR CAMINHÕES
598,37.01-1/00,GESTÃO DE REDES DE ESGOTO
599,37.02-9/00,"ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTÃO DE REDES"
600,38.11-4/00,COLETA DE RESÍDUOS NÃO PERIGOSOS
601,38.12-2/00,COLETA DE RESÍDUOS PERIGOSOS
602,38.21-1/00,TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS NÃO PERIGOSOS
603,38.22-0/00,TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS PERIGOSOS
604,38.31-9/01,RECUPERAÇÃO DE SUCATAS DE ALUMÍNIO
605,38.31-9/99,"RECUPERAÇÃO DE MATERIAIS METÁLICOS, EXCETO ALUMÍNIO"
606,38.32-7/00,RECUPERAÇÃO DE MATERIAIS PLÁSTICOS
607,38.39-4/01,USINAS DE COMPOSTAGEM
608,38.39-4/99,RECUPERAÇÃO DE MATERIAIS NÃO ESPECIFICADOS ANTERIORMENTE
609,39.00-5/00,DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS
610,41.10-7/00,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS
611,41.20-4/00,CONSTRUÇÃO DE EDIFÍCIOS
612,42.11-1/01,CONSTRUÇÃO DE RODOVIAS E FERROVIAS
613,42.11-1/02,PINTURA PARA SINALIZAÇÃO EM PISTAS RODOVIÁRIAS E AEROPORTOS
614,42.12-0/00,CONSTRUÇÃO DE OBRAS DE ARTE ESPECIAIS
615,42.13-8/00,"OBRAS DE URBANIZAÇÃO - RUAS, PRAÇAS E CALÇADAS"
616,42.21-9/01,CONSTRUÇÃO DE BARRAGENS E REPRESAS PARA GERAÇÃO DE ENERGIA ELÉTRICA
617,42.21-9/02,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
618,42.21-9/03,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
619,42.21-9/04,CONSTRUÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES
620,42.21-9/05,MANUTENÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES
621,42.22-7/01,"CONSTRUÇÃO DE REDES DE ABASTECIMENTO DE ÁGUA, COLETA DE ESGOTO E CONSTRUÇÕES CORRELATAS, EXCETO OBRAS DE IRRIGAÇÃO"
622,42.22-7/02,OBRAS DE IRRIGAÇÃO
623,42.23-5/00,"CONSTRUÇÃO DE REDES DE TRANSPORTES POR DUTOS, EXCETO PARA ÁGUA E ESGOTO"
624,42.91-0/00,"OBRAS PORTUÁRIAS, MARÍTIMAS E FLUVIAIS"
625,42.92-8/01,MONTAGEM DE ESTRUTURAS METÁLICAS
626,42.92-8/02,OBRAS DE MONTAGEM INDUSTRIAL
627,42.99-5/01,CONSTRUÇÃO DE INSTALAÇÕES ESPORTIVAS E RECREATIVAS
628,42.99-5/99,OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE
629,43.11-8/01,DEMOLIÇÃO DE EDIFÍCIOS E OUTRAS ESTRUTURAS
630,43.11-8/02,PREPARAÇÃO DE CANTEIRO E LIMPEZA DE TERRENO
631,43.12-6/00,PERFURAÇÕES E SONDAGENS
632,43.13-4/00,OBRAS DE TERRAPLENAGEM
633,43.19-3/00,SERVIÇOS DE PREPARAÇÃO DO TERRENO NÃO ESPECIFICADOS ANTERIORMENTE
634,43.21-5/00,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
635,43.22-3/01,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
636,43.22-3/02,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
637,43.22-3/03,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
638,43.29-1/01,INSTALAÇÃO DE PAINÉIS PUBLICITÁRIOS
639,43.29-1/02,INSTALAÇÃO DE EQUIPAMENTOS PARA ORIENTAÇÃO À NAVEGAÇÃO MARÍTIMA FLUVIAL E LACUSTRE
640,43.29-1/03,"INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES"
641,43.29-1/04,"MONTAGEM E INSTALAÇÃO DE SISTEMAS E EQUIPAMENTOS DE ILUMINAÇÃO E SINALIZAÇÃO EM VIAS PÚBLICAS, PORTOS E AEROPORTOS"
642,43.29-1/05,"TRATAMENTOS TÉRMICOS, ACÚSTICOS OU DE VIBRAÇÃO"
643,43.29-1/99,OUTRAS OBRAS DE INSTALAÇÕES EM CONSTRUÇÕES NÃO ESPECIFICADAS ANTERIORMENTE
644,43.30-4/01,IMPERMEABILIZAÇÃO EM OBRAS DE ENGENHARIA CIVIL
645,43.30-4/02,"INSTALAÇÃO DE PORTAS, JANELAS, TETOS, DIVISÓRIAS E ARMÁRIOS EMBUTIDOS DE QUALQUER MATERIAL"
646,43.30-4/03,OBRAS DE ACABAMENTO EM GESSO E ESTUQUE
647,43.30-4/04,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL
648,43.30-4/05,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES
649,43.30-4/99,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUÇÃO
650,43.91-6/00,OBRAS DE FUNDAÇÕES
651,43.99-1/01,ADMINISTRAÇÃO DE OBRAS
652,43.99-1/02,MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORÁRIAS
653,43.99-1/03,OBRAS DE ALVENARIA
654,43.99-1/04,SERVIÇOS DE OPERAÇÃO E FORNECIMENTO DE EQUIPAMENTOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS E PESSOAS PARA USO EM OBRAS
655,43.99-1/05,PERFURAÇÃO E CONSTRUÇÃO DE POÇOS DE ÁGUA
656,43.99-1/99,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE
657,45.11-1/01,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS"
658,45.11-1/02,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS"
659,45.11-1/03,"COMÉRCIO POR ATACADO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS E USADOS"
660,45.11-1/04,COMÉRCIO POR ATACADO DE CAMINHÕES NOVOS E USADOS
661,45.11-1/05,COMÉRCIO POR ATACADO DE REBOQUES E SEMI REBOQUES NOVOS E USADOS
662,45.11-1/06,COMÉRCIO POR ATACADO DE ÔNIBUS E MICROÔNIBUS NOVOS E USADOS
663,45.12-9/01,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE VEÍCULOS AUTOMOTORES
664,45.12-9/02,COMÉRCIO SOB CONSIGNAÇÃO DE VEÍCULOS AUTOMOTORES
665,45.20-0/01,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES
666,45.20-0/02,SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES
667,45.20-0/03,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO ELÉTRICA DE VEÍCULOS AUTOMOTORES
668,45.20-0/04,SERVIÇOS DE ALINHAMENTO E BALANCEAMENTO DE VEÍCULOS AUTOMOTORES
669,45.20-0/05,"SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES"
670,45.20-0/06,SERVIÇOS DE BORRACHARIA PARA VEÍCULOS AUTOMOTORES
671,45.20-0/07,"SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES"
672,45.20-0/08,SERVIÇOS DE CAPOTARIA
673,45.30-7/01,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
674,45.30-7/02,COMÉRCIO POR ATACADO DE PNEUMÁTICOS E CÂMARAS DE AR
675,45.30-7/03,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
676,45.30-7/04,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES
677,45.30-7/05,COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMARAS DE AR
678,45.30-7/06,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE PEÇAS E ACESSÓRIOS NOVOS E USADOS PARA VEÍCULOS AUTOMOTORES
679,45.41-2/01,COMÉRCIO POR ATACADO DE MOTOCICLETAS E MOTONETAS
680,45.41-2/02,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS PARA MOTOCICLETAS E MOTONETAS
681,45.41-2/03,COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS
682,45.41-2/04,COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS
683,45.41-2/06,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA MOTOCICLETAS E MOTONETAS
684,45.41-2/07,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA MOTOCICLETAS E MOTONETAS
685,45.42-1/01,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MOTOCICLETAS E MOTONETAS, PEÇAS E ACESSÓRIOS"
686,45.42-1/02,COMÉRCIO SOB CONSIGNAÇÃO DE MOTOCICLETAS E MOTONETAS
687,45.43-9/00,MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS E MOTONETAS
688,46.11-7/00,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MATÉRIAS PRIMAS AGRÍCOLAS E ANIMAIS VIVOS
689,46.12-5/00,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE COMBUSTÍVEIS, MINERAIS, PRODUTOS SIDERÚRGICOS E QUÍMICOS"
690,46.13-3/00,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MADEIRA, MATERIAL DE CONSTRUÇÃO E FERRAGENS"
691,46.14-1/00,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MÁQUINAS, EQUIPAMENTOS, EMBARCAÇÕES E AERONAVES"
692,46.15-0/00,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE ELETRODOMÉSTICOS, MÓVEIS E ARTIGOS DE USO DOMÉSTICO"
693,46.16-8/00,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE TÊXTEIS, VESTUÁRIO, CALÇADOS E ARTIGOS DE VIAGEM"
694,46.17-6/00,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
695,46.18-4/01,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MEDICAMENTOS, COSMÉTICOS E PRODUTOS DE PERFUMARIA"
696,46.18-4/02,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE INSTRUMENTOS E MATERIAIS ODONTO MÉDICO HOSPITALARES
697,46.18-4/03,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE JORNAIS, REVISTAS E OUTRAS PUBLICAÇÕES"
698,46.18-4/99,OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO ESPECIALIZADO EM PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
699,46.19-2/00,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE MERCADORIAS EM GERAL NÃO ESPECIALIZADO
700,46.21-4/00,COMÉRCIO ATACADISTA DE CAFÉ EM GRÃO
701,46.22-2/00,COMÉRCIO ATACADISTA DE SOJA
702,46.23-1/01,COMÉRCIO ATACADISTA DE ANIMAIS VIVOS
703,46.23-1/02,"COMÉRCIO ATACADISTA DE COUROS, LÃS, PELES E OUTROS SUBPRODUTOS NÃO COMESTÍVEIS DE ORIGEM ANIMAL"
704,46.23-1/03,COMÉRCIO ATACADISTA DE ALGODÃO
705,46.23-1/04,COMÉRCIO ATACADISTA DE FUMO EM FOLHA NÃO BENEFICIADO
706,46.23-1/05,COMÉRCIO ATACADISTA DE CACAU
707,46.23-1/06,"COMÉRCIO ATACADISTA DE SEMENTES, FLORES, PLANTAS E GRAMAS"
708,46.23-1/07,COMÉRCIO ATACADISTA DE SISAL
709,46.23-1/08,COMÉRCIO ATACADISTA DE MATÉRIAS PRIMAS AGRÍCOLAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA
710,46.23-1/09,COMÉRCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS
711,46.23-1/99,COMÉRCIO ATACADISTA DE MATÉRIAS PRIMAS AGRÍCOLAS NÃO ESPECIFICADAS ANTERIORMENTE
712,46.31-1/00,COMÉRCIO ATACADISTA DE LEITE E LATICÍNIOS
713,46.32-0/01,COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS
714,46.32-0/02,"COMÉRCIO ATACADISTA DE FARINHAS, AMIDOS E FÉCULAS"
715,46.32-0/03,"COMÉRCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FÉCULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA"
716,46.33-8/01,"COMÉRCIO ATACADISTA DE FRUTAS, VERDURAS, RAÍZES, TUBÉRCULOS, HORTALIÇAS E LEGUMES FRESCOS"
717,46.33-8/02,COMÉRCIO ATACADISTA DE AVES VIVAS E OVOS
718,46.33-8/03,COMÉRCIO ATACADISTA DE COELHOS E OUTROS PEQUENOS ANIMAIS VIVOS PARA ALIMENTAÇÃO
719,46.34-6/01,COMÉRCIO ATACADISTA DE CARNES BOVINAS E SUÍNAS E DERIVADOS
720,46.34-6/02,COMÉRCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS
721,46.34-6/03,COMÉRCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR
722,46.34-6/99,COMÉRCIO ATACADISTA DE CARNES E DERIVADOS DE OUTROS ANIMAIS
723,46.35-4/01,COMÉRCIO ATACADISTA DE ÁGUA MINERAL
724,46.35-4/02,"COMÉRCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE"
725,46.35-4/03,COMÉRCIO ATACADISTA DE BEBIDAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA
726,46.35-4/99,COMÉRCIO ATACADISTA DE BEBIDAS NÃO ESPECIFICADAS ANTERIORMENTE
727,46.36-2/01,COMÉRCIO ATACADISTA DE FUMO BENEFICIADO
728,46.36-2/02,"COMÉRCIO ATACADISTA DE CIGARROS, CIGARRILHAS E CHARUTOS"
729,46.37-1/01,"COMÉRCIO ATACADISTA DE CAFÉ TORRADO, MOÍDO E SOLÚVEL"
730,46.37-1/02,COMÉRCIO ATACADISTA DE AÇÚCAR
731,46.37-1/03,COMÉRCIO ATACADISTA DE ÓLEOS E GORDURAS
732,46.37-1/04,"COMÉRCIO ATACADISTA DE PÃES, BOLOS, BISCOITOS E SIMILARES"
733,46.37-1/05,COMÉRCIO ATACADISTA DE MASSAS ALIMENTÍCIAS
734,46.37-1/06,COMÉRCIO ATACADISTA DE SORVETES
735,46.37-1/07,"COMÉRCIO ATACADISTA DE CHOCOLATES, CONFEITOS, BALAS, BOMBONS E SEMELHANTES"
736,46.37-1/99,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE
737,46.39-7/01,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL
738,46.39-7/02,"COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA"
739,46.41-9/01,COMÉRCIO ATACADISTA DE TECIDOS
740,46.41-9/02,"COMÉRCIO ATACADISTA DE ARTIGOS DE CAMA, MESA E BANHO"
741,46.41-9/03,COMÉRCIO ATACADISTA DE ARTIGOS DE ARMARINHO
742,46.42-7/01,"COMÉRCIO ATACADISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS, EXCETO PROFISSIONAIS E DE SEGURANÇA"
743,46.42-7/02,COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS PARA USO PROFISSIONAL E DE SEGURANÇA DO TRABALHO
744,46.43-5/01,COMÉRCIO ATACADISTA DE CALÇADOS
745,46.43-5/02,"COMÉRCIO ATACADISTA DE BOLSAS, MALAS E ARTIGOS DE VIAGEM"
746,46.44-3/01,COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO
747,46.44-3/02,COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO VETERINÁRIO
748,46.45-1/01,"COMÉRCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO, CIRÚRGICO, HOSPITALAR E DE LABORATÓRIOS"
749,46.45-1/02,COMÉRCIO ATACADISTA DE PRÓTESES E ARTIGOS DE ORTOPEDIA
750,46.45-1/03,COMÉRCIO ATACADISTA DE PRODUTOS ODONTOLÓGICOS
751,46.46-0/01,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA
752,46.46-0/02,COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIENE PESSOAL
753,46.47-8/01,COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA
754,46.47-8/02,"COMÉRCIO ATACADISTA DE LIVROS, JORNAIS E OUTRAS PUBLICAÇÕES"
755,46.49-4/01,COMÉRCIO ATACADISTA DE EQUIPAMENTOS ELÉTRICOS DE USO PESSOAL E DOMÉSTICO
756,46.49-4/02,COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE USO PESSOAL E DOMÉSTICO
757,46.49-4/03,"COMÉRCIO ATACADISTA DE BICICLETAS, TRICICLOS E OUTROS VEÍCULOS RECREATIVOS"
